CodeName,Order,q_id,content,choice_a,choice_b
*-*-*-*-*,B25-00001,B25-00001,고민상담에 무엇이 더 중요하다고 생각합니까?,뼈있는 조언,편안한 공감
*-*-*-*-*,B25-00002,B25-00002,주말 에너지를 충전하기에 더 좋은 것은?,집에서 온전히 휴식,사람들과 활기찬 만남
*-*-*-*-*,B25-00003,B25-00003,"친구가 어색하고 이상한 옷을 입고 왔다면?(특, 잘 삐침)",솔직하게 별로라 말한다,개성이려니 하고 상관안한다
*-*-*-*-*,B25-00004,B25-00004,중요한 결정을 내릴 때 당신은?,데이터를 분석해서 판단,데이터와 직감을 더해서 판단
*-*-*-*-*,B25-00005,B25-00005,당신의 이상적인 인간관계는?,소수의 깊은 관계,다수의 넓은 관계
*-*-*-*-*,B25-00006,B25-00006,새로운 진로 선택을 할 때 당신의 기준은?,고통있지만 급성장 있는 길,안정적으로 유지되는 길
*-*-*-*-*,B25-00007,B25-00007,연애할 때 더 중요한 건?,불꽃 튀는 뜨거움,잔잔하고 편안한 안정감
*-*-*-*-*,B25-00008,B25-00008,"중요한 일을 결정할 때, 당신의 마음을 움직이는 것은?",논리에 기반한 합리적 판단,감성과 직감에 따른 끌림
*-*-*-*-*,B25-00009,B25-00009,길을 걷다 갑자기 넘어져 버렸을 때 당신의 첫 반응은?,주변 시선보다 내 아픔이 먼저! 바로 곡소리 내며 아파함,괜찮은 척 벌떡 일어나 아무렇지 않은 듯 빠르게 자리를 뜸
*-*-*-*-*,B25-00010,B25-00010,만족스러운 인생을 만들기 위한 나의 선택은?,후회없이 하고 싶은 것을 모두 해본다,미래의 안락함을 만들기 위해 지금은 이겨낸다
*-*-*-*-*,B25-00011,B25-00011,당신에게 더 큰 스트레스를 주는 상황은?,나의 실수가 남들에게 영향을 주는 것.,남의 실수 때문에 내가 영향을 받는 것.
*-*-*-*-*,B25-00012,B25-00012,당신의 삶을 이끄는 원동력을 고른다면?,안정된 일상유지,도전적인 미래
*-*-*-*-*,B25-00013,B25-00013,"솔로인 당신, 휴가를 더 완벽하게 보내는 방법은?","집에서 좋아하는 영화, 게임, 책과 함께.",약속을 잡고 사람들과 활기차게 어울리기.
*-*-*-*-*,B25-00014,B25-00014,갑자기 큰 돈이 생겼다면 가장 먼저 할 일은?,쇼핑,여행
*-*-*-*-*,B25-00015,B25-00015,스트레스 해소법은?,혼자만의 시간,친구들과의 시간
*-*-*-*-*,B25-00016,B25-00016,"SNS에서 불편한 게시물을 봤다, 더 나은 대처방법은?",망설임 없이 차단,댓글로 일침 남기기
*-*-*-*-*,B25-00017,B25-00017,어색한 침묵이 흐를 때 당신은?,먼저 분위기를 띄운다,말을 꺼낼 때까지 기다린다
*-*-*-*-*,B25-00018,B25-00018,공공장소에서 더 참기 힘든 소리는?,누군가의 ASMR 급 쩝쩝 소리,꺼지지 않는 알람 소리 “띠리링~ 띠리링~”
*-*-*-*-*,B25-00019,B25-00019,해외여행에서 더 만족도가 떨어지는 상황은?,같이 간 친구가 매 순간 “한국이 더 낫다” 비교,공들여 고른 맛집이 현지인도 안 오는 곳
*-*-*-*-*,B25-00020,B25-00020,갈등 상황에서 당신의 방식은?,솔직하게 직접적으로 말하기,다른사람의 이야기인 것 처럼 돌려 말하기
*-*-*-*-*,B25-00021,B25-00021,사람들 앞에서 둘 중 더 끔찍한 상황은?,생각보다 방귀 소리가 심할 때,생각보다 트림 소리가 클 때
*-*-*-*-*,B25-00022,B25-00022,참을 수 없는 스트레스를 푸는 더 나은 방법은?,익명으로 카페에 글올려서 의견받기,혼자 집에서 천장보고 쌍욕날리기
*-*-*-*-*,B25-00023,B25-00023,당신에게 더 완벽한 인생이란?,하고 싶은 일 하며 사는 인생,하기 싫은 걸 안 하고 사는 인생
*-*-*-*-*,B25-00024,B25-00024,삶의 만족감을 얻는데 더 도움이 되는 것은?,최신 IT 디바이스 득템,디지털 디톡스하며 여행
*-*-*-*-*,B25-00025,B25-00025,중요한 선택의 기로에 섰을 때 더 맞이하기 싫은 상황은?,주변 사람들의 조언 폭탄,"전기, 와이파이 없어서 정보검색 안됨"
*-*-*-*-*,B25-00026,B25-00026,내가 술먹고 실수로 이불킼 하는 순간을 만들었다면?,“전남/여친에게 인스타 "좋아요"보냈을때,짝사랑 남/여에게 고백 후 까였을때
*-*-*-*-*,B25-00027,B25-00027,지인들과 관계를 유지하는 나의 방식에 더 가까운 것은?,가끔 소식 확인,자주 만나서 이바구.
*-*-*-*-*,B25-00028,B25-00028,아파트에서 낯익지만 친하지 않은 이웃과 엘리베이터에서 마주친다면?,불편해 할수 있으니 휴대폰 보는 척,앞으로 계속 볼 수 있으니 말 걸기
*-*-*-*-*,B25-00029,B25-00029,"당신을 험담하는 것을 들었을 때, 오히려 더 다행인 것은?",가까운 친구(나중에 이유를 물을 수 있음),잘 모르는 사람(어차피 안 볼거니까)
*-*-*-*-*,B25-00030,B25-00030,"예상치 못한 행운이 찾아왔을 때, 나의 생각에 가까운 것은?","하늘이 돕는구나, 기분 최고!","혹시 함정 아닐까, 지켜보자"
*-*-*-*-*,B25-00031,B25-00031,더 나은 삶을 고를 수 있다면?,돈은 없지만 얻어먹을 복 많은,돈은 많지만 입맛이 없는
*-*-*-*-*,B25-00032,B25-00032,친구에게 피드백 하는 스킬 중 더 좋은 방법은?,“너 진짜 나랑 비슷하다”단점 공유 공감," 나 너무 직설적이지?"사실 조언공감"
*-*-*-*-*,B25-00033,B25-00033,당신이 얻고 싶은 최고의 능력은?,누구도 범접 못할 천재적인 두뇌,누구에게나 사랑받는 핵인싸 매력
*-*-*-*-*,B25-00034,B25-00034,당신의 직장생활에서 중요한 것은 무엇입니까?,고수익,워라밸
*-*-*-*-*,B25-00035,B25-00035,고민에 빠진 친구에게 더 도움이 되는 것은?,폭풍분석 같이 고민하기,장소서칭 주변환경 바꾸기
*-*-*-*-*,B25-00036,B25-00036,여행 동행자로써 내게 더 좋은 성향은?,계획 없이 떠나는 P 유형 친구,꼼꼼하게 다 짠 J 유형 친구
*-*-*-*-*,B25-00037,B25-00037,예측 불가능한 어떤 상황에서 당신의 선택은?,철저한 준비를 위해 한 걸음 뒤로,일단 경험하기 위해 한 걸음 앞으로
*-*-*-*-*,B25-00038,B25-00038,"아침에만 생겨나는 마법이 있다면, 어떤 것?",금손이 해 준 마법의 메이크업 & 스타일링,집이 저절로 깔끔해지는 청소와 식사세팅
*-*-*-*-*,B25-00039,B25-00039,평생 한 가지 능력을 갖는다면?,먹고 싶은 거 다 먹어도 건강하기,체력을 아무리 써도 피곤하지 않기
*-*-*-*-*,B25-00040,B25-00040,당신이 더 선호하는 휴식은?,"찜질방, 온천, 펜션","등산, 레져, 스포츠"
*-*-*-*-*,B25-00041,B25-00041,잃어버린 물건을 찾기 위해 더 감수할 수 있는 것은?,온 집안을 뒤집어엎고 찾기,잃어버린 걸 포기하고 새로 사기
*-*-*-*-*,B25-00042,B25-00042,"무조건 전시해야 하는 예상치 못한 선물, 더 나은 상황은?",내 취향아닌 고가의 명품,손수 만든 요상한 작품
*-*-*-*-*,B25-00043,B25-00043,몰입을 위해 내가 세팅하는 환경이 있다면?,아무도 아무 소리도 없는 정적 속에서_고요 집중러,친구와 적당한 백색소음이 있는 공공장소_관계형 집중러
*-*-*-*-*,B25-00044,B25-00044,만약 사람들로부터 기억되는 존재가 된다면?,똑똑하고 유능한 사람,친근하고 재미있는 사람
*-*-*-*-*,B25-00045,B25-00045,당신이 더 끌리는 삶의 방식은?,낮에 자고 저녁에 활동,낮에 활동하고 저녁에 일찍 잠
*-*-*-*-*,B25-00046,B25-00046,"한여름, 일상 속 짜증나는 순간을 해결 할수 있는 능력을 고른다면?",더워도 땀 한 방울을 향수로 바꾸는 공기 정화능력,“내 혈액형은 맛없음” 인식시키는 모기 거부 능력
*-*-*-*-*,B25-00047,B25-00047,어떤 부자가 더 끌려?,성공비결 컨텐츠 있는 유명한 부자,조용히 성공담을 주변에만 알리는 부자
*-*-*-*-*,B25-00048,B25-00048,"유명해진 당신, 삶의 방식을 선택 할수 있다면?",세상을 바꾸는 영향력 있는 삶,소소하지만 세상과 소통하는 삶
*-*-*-*-*,B25-00049,B25-00049,더 괜찮은 상황은?,메뉴사진과 다른 비주얼의 음식,메뉴사진과 같은데 맛이 이상한 음식
*-*-*-*-*,B25-00050,B25-00050,만약 내가 학생일 때 능력을 얻는다면?,모든 수업이 이해되는 능력,모든 친구들이 이해되는 능력
*-*-*-*-*,B25-00051,B25-00051,"완벽한 도전, 체험을 하기 위해 친구와 계획을 짠다면",친구가 고른 활동을 이유 묻지 않고 따라가기,'내가 처음 해보는 것들’ 리스트 만들어서 보여주기
*-*-*-*-*,B25-00052,B25-00052,나를 움직이게 만드는 가장 효과적인 방법은?,실패를 통해 배우는 뼈저린 경험,작은 성공부터 쌓아가는 경험
*-*-*-*-*,B25-00053,B25-00053,나의 잠재력을 폭발시키는 환경은?,처절하게 절박함이 깔린 생존형 환경,칭찬지옥에 에너지 3배로 쓰게 만드는 환경
*-*-*-*-*,B25-00054,B25-00054,"3년동안 미쳐버릴 스트레스가 있지만, 극복하면 평생의 부가 보장된다. 도전?",미쳐버릴 각오하고 도전!,미치기에는 인생이 아까워. 거절!
*-*-*-*-*,B25-00055,B25-00055,"누군가가 내 SNS에 '예쁘다/잘생겼다'는 댓글을 달았을 때, 나의 리액션은?",바로 하트 눌러주는 즉시 반응형,스토리에서만 반응하는 간접 반응형
*-*-*-*-*,B25-00056,B25-00056,갑자기 100억이 생겼지만 더 최악인 상황은??,국세청 세무조사 받고 다 털림,주변에 믿을 만한 사람이 없어서 다 털림
*-*-*-*-*,B25-00057,B25-00057,생각지도 못했던 이성에게 고백 받았다면?,내 마음에 없으면 단칼에 거절, 사랑하게 될 수도 있으니까 받아줌
*-*-*-*-*,B25-00058,B25-00058,스트레스를 풀 때 당신에게 더 효과적인 방법은?,혼자 조용히 생각하며 재충전하기,친구들과 시끌벅적하게 놀며 에너지 발산하기
*-*-*-*-*,B25-00059,B25-00059,당신의 1년성과를 측정 할 수 있는 기준을 고른다면?,내 SNS의 성장,내 통장의 성장
*-*-*-*-*,B25-00060,B25-00060,둘 중 하나를 선택한다면?,"벼락 부자, 평생 하고 싶은 일 못함","꿈의 직업, 평생 부자는 못 됨"
*-*-*-*-*,B25-00061,B25-00061,극심한 스트레스를 받은 당신의 선택은?,배 터지는 복통 느끼며 맛집 깨기,근육통을 즐기며 헬스장 깨기
*-*-*-*-*,B25-00062,B25-00062,당신의 사업 파트너를 고른다면?,일하는 스타일은 잘 맞지만 개인 성향이 다른 사람,일하는 스타일은 안 맞지만 개인 성향이 같은 사람
*-*-*-*-*,B25-00063,B25-00063,내 인생에서 평생 함께하고 싶은 친구는?,가치관은 다르지만 날 늘 웃게 하는 친구,가치관은 같지만 날 늘 진지하게 만드는 친구
*-*-*-*-*,B25-00064,B25-00064,당신의 직업 만족도를 위한 최고의 선택은?,돈은 많지만 흥미 없는 직업,돈은 적지만 흥미로운 직업
*-*-*-*-*,B25-00065,B25-00065,"휴일 오후, 당신에게 더 완벽한 힐링법은?",반신욕에 와인,요가수업 후 수다
*-*-*-*-*,B25-00066,B25-00066,당신의 진정한 행복 기준은?,내가 만족하는 삶,누구나 인정하는 삶
*-*-*-*-*,B25-00067,B25-00067,"답 없을 것 같은 문제를 직면했을 때, 더 나은 선택을 하려면?",AI에게 일단 털면서 끝까지 고민하기,"“일단 자자 쉬었다가 고민하기"""
*-*-*-*-*,B25-00068,B25-00068,사랑고백을 성공시키기 위한 더 나은 내 전략은?,평소대로 행동하며 기다리기,다른 모습으로 계속 어필하기
*-*-*-*-*,B25-00069,B25-00069,"MBTI 완전 반대여도 더 끌리는 포인트가 있다면?",웃음코드가 맞다면 OK,정반대니까 호기심 일으키면 OK
*-*-*-*-*,B25-00070,B25-00070,현재 내가 사귀고 싶은 사람은?,외모가 완벽하게 끌리는 사람,마음을 편안하게 만들어 주는 사람
*-*-*-*-*,B25-00071,B25-00071,무인도에 단 한 권의 책만 가져갈 수 있다면?,생존에 필요한 모든 정보만 담긴 책,읽으면 무조건 행복해지는 소설책
*-*-*-*-*,B25-00072,B25-00072,다이어트 성공을 위한 더 나은 선택은?,음식 사진으로 냄새 맡기,군것질 대신 얼음 씹기
*-*-*-*-*,B25-00073,B25-00073,썸남/썸녀에게 더 끌리는 순간은?,내 취향을 꿰뚫는 대화,예측 불가한 우연한 스킨십
*-*-*-*-*,B25-00074,B25-00074,호감 가는 사람에게 어필하는 당신의 방법은?,완벽한 모습 보여주다 가끔 허당미 보이기,조용히 옆에 있으며 익숙하게 만들기
*-*-*-*-*,B25-00075,B25-00075,"힘든 하루 끝, 갑작스런 친구의 부탁에 저녁시간을 다 써야 한다면?",피곤해도 일단 들어주고 후회,솔직하게 힘들다고 거절
*-*-*-*-*,B25-00076,B25-00076,"번아웃 직전, 나를 위한 선택은?",모든 일 멈추고 잠수 타기,새로운 일을 찾아 몰두하기
*-*-*-*-*,B25-00077,B25-00077,친구의 고민이 황당할 때 나의 반응에 가까운 것은?,욕을 갈기지만 진지하게 상담해 주기,다시는 황당한 고민 못 하게 더 황당하게 굴기
*-*-*-*-*,B25-00078,B25-00078,당신의 선택은?,내 돈 같지 않지만 당장 100억 받기,30년 후 보상으로 200억 벌기
*-*-*-*-*,B25-00079,B25-00079,"한밤중에 찾아온 '야식'의 유혹, 당신의 선택은?",내일 후회해도 일단 먹는다,배고픔을 견디고 잠자리에 든다
*-*-*-*-*,B25-00080,B25-00080,"잠자리에 들기 위한, 당신의 노력에 가까운 것은?",잠들 때까지 핸드폰 무한 스크롤,눈 감고 억지로 버티기
*-*-*-*-*,B25-00081,B25-00081,새로운 도전을 앞두고 있다면?,철저한 계획 후 완벽하게 시작,일단 부딪히며 배우고 수정
*-*-*-*-*,B25-00082,B25-00082,처음 만나는 사람들로 가득한 모임에 갔을 때 당신은?,먼저 대화 주도,우선 조용히 경청
*-*-*-*-*,B25-00083,B25-00083,죽을 때 덜 후회할 것 같은 돈에 대한 당신의 철학은?,돈을 의미 있게 쓰면 남는거야,돈을 모으는 건 나의 든든한 방패였어
*-*-*-*-*,B25-00084,B25-00084,탕수육을 먹을 때 당신의 소신은?,소스는 아낌없이 부어 먹는 '부먹'파,소스는 그 때 그 때 찍어 먹는 '찍먹'파
*-*-*-*-*,B25-00085,B25-00085,"친구의 생일 선물, 당신의 선택은?",실용적이지만 취향 탈 수 있는 선물,예쁘지만 쓸모없을 수 있는 선물
*-*-*-*-*,B25-00086,B25-00086,어린시절의 놀이터에서 당신의 포지션을 고른다면?,그네를 6시간 독점,시소를 6시간 독점
*-*-*-*-*,B25-00087,B25-00087,놀이터에서 더 최악인 순간은?,술래잡기에서 아무도 날 못 찾음,술래잡기에서 아무도 못 잡음
*-*-*-*-*,B25-00088,B25-00088,나의 이상적인 휴가 스타일은?,유명 관광지에서 액티비티 즐기기,아무도 없는 곳에서 조용히 휴식
*-*-*-*-*,B25-00089,B25-00089,내가 하고 싶은 골목대장 타입은?,새로운 놀거리 늘 만들 수 있는 골목 대장,따르는 친구들이 엄청 많은 골목대장
*-*-*-*-*,B25-00090,B25-00090,"주말에 업무 생각, 당신의 생각은?",커리어를 위해 뇌 버튼 ON,워라밸 위해 뇌 버튼 OFF
*-*-*-*-*,B25-00091,B25-00091,어떤 조언이 더 나은 결과흫 만들까?,아프더라도 냉정한 사실,사실과 다르지만 따뜻한 위로
*-*-*-*-*,B25-00092,B25-00092,소개팅에서 더 견딜 수 있는 상황은?,숨소리조차 불편한 어색한 침묵,숨쉬지 않고 계속 떠드는 수다
*-*-*-*-*,B25-00093,B25-00093,집에서 당신을 더 열 받게 하는 상황은?,필요한 물건 제자리에 없음 ,정리한 물건 또 나와 있음
*-*-*-*-*,B25-00094,B25-00094,생활비를 벌기 위한 더 웃픈 노력은?,새벽 알바 끝나고 아침 수업에 꿀잠,"밥, 간장 만으로 여러 가지 레시피 개발"
*-*-*-*-*,B25-00095,B25-00095,1년 동안 무조건 한 가지만 해야 한다면?(자금 충분),세상 모든 곳을 다니는 자유로운 여행,사랑히는사람들과 소소한 추억 쌓기
*-*-*-*-*,B25-00096,B25-00096,중요한 결정 앞에서 당신이 더 따르고 싶은 것은?,주변의 경험 많은 인생 선배 조언,내 안의 직관과 새로운 도전 정신
*-*-*-*-*,B25-00097,B25-00097,직장 생활 중 개인의 성장을 위해 더 중요하다고 생각하는 것은?,업무 협력을 위한 커뮤니케이션 스킬,현장에서 필요한 실용적인 노하우 습득
*-*-*-*-*,B25-00098,B25-00098,"만약 아무리 큰 단점이 있어도, 단 하루만 다른 사람으로 살 수 있는 걸 고른다면?",SNS 속 완벽한 인플루언서_경쟁 압박,AI 시대의 천재 개발자_알림 압박
*-*-*-*-*,B25-00099,B25-00099,"친한 친구가 곤경에 처했을 때, 당신이 먼저 해주는 행동은?",무슨일이야? 내가 같이 해줘?!,일단 진정하고 해결책을 찾자!
*-*-*-*-*,B25-00100,B25-00100,파티에서 인간관계를 넓히는 당신의 전략은?,먼저 다가가 사람들 사이에 녹아들기,분위기 잘맞는 사람 한명에게 집중
*-*-*-*-*,B25-00101,B25-00101,당신이 꿈꾸는 완벽한 연애 상대는?,나에게 설레어 하는 사람,나를 설레게 만드는 사람
*-*-*-*-*,B25-00102,B25-00102,더 빨리 깨달아야 하는 인생 경험은?,자존심 지키려고 허세 부리는 행동,이게 사랑이라고 믿게 만드는 나쁜연애
*-*-*-*-*,B25-00103,B25-00103,친구의 단점에 대해 당신이 친구를 돕는 방식에 더 가까운 것은?,답답해도 참고 깨닫는 과정을 지켜봐 준다,시간 낭비하지 않게 솔직하게 말해준다
*-*-*-*-*,B25-00104,B25-00104,어떤 친구 스타일이 더 나아?,늘 세상 진지하게 본인의 바보짓 상담 하는 친구,늘 세상 웃기게 본인의 슬픈 얘기 흘리는 친구
*-*-*-*-*,B25-00105,B25-00105,나와의 약속에 더 불편한 친구는?,10분이지만 늦어도 사과없는 친구,30분 먼저 가서 재촉하는 친구
*-*-*-*-*,B25-00106,B25-00106,"무조건 써야 하는 돈이 생긴다면, 1순위는?",사랑하는 사람들에게 투자라고 생각하고 준다,내가 살면서 지속적으로 소비할 것들을 미리 사둔다
*-*-*-*-*,B25-00107,B25-00107,"연애 중, 가치관은 너무 다른데 나머지는 완벽한 이상형을 만났다면?",가치관은 내가 맞춰 갈 수 있다,가치관은 안 바뀐다. 이별
*-*-*-*-*,B25-00108,B25-00108,"사랑에 완전 안 바뀌는 조건이 붙는다면, 더 나은 쪽은?",외모는 이상형인데 유머감각 Zero,성격은 완벽한데 패션감각 Zero
*-*-*-*-*,B25-00109,B25-00109,소개팅 상대가 내 취향과 정반대 식성이라면?,티 내지 않고 애프터 신청은 거절,취향보다 마음이 맞는지 더 노력해 본다
*-*-*-*-*,B25-00110,B25-00110,"평생 해야 하는 일이라면, 더 나은 것은?","어디서든 일 하지만, 쉬는 시간은 없는 디지털 노마드 형","안정된 내 공간은 있지만, 계속 창의적인 생각만 해야 하는 콘텐츠형"
*-*-*-*-*,B25-00111,B25-00111,"나도 솔로인데, 친구가 소개팅 주선해달라고 한다면?","인연은 만드는 것, 같이 다닌다","인연은 각자의 운, 거절한다"
*-*-*-*-*,B25-00112,B25-00112,"친구의 뼈 때리는 솔직한 피드백, 당신의 반응에 더 가까운 것은?","유머로 포장 좀 아프네 그래도 고맙다""""","아프니까 반사 공격 넌 완벽하냐?"""""
*-*-*-*-*,B25-00113,B25-00113,"친구 생일파티에서 전 애인이 예고 없이 등장했을 때, 당신의 반응에 가까운 것은?","과하게 웃으며, 잘 지내는 것 어필","심장은 당황했지만, 무심한 척/상관없는 척"
*-*-*-*-*,B25-00114,B25-00114,미래의 부자 되는 것을 포기하더라도 지금 꼭 가져야 할 것을 고른다면?,공감_사람들과 같이 웃을 수 있는 여유,냉철함_세상에 흔들리지 않는 굳건함
*-*-*-*-*,B25-00115,B25-00115,"직장에서 겪을 땐 몰랐는데, 지금 생각해 보니 더 웃픈 것은?","회식 끝나고 집에서 잤다고 생각했는데, 눈 떠보니 회사 사무실","다이어트 시작했는데, 스트레스 땜에 저녁 삼겹살에 소주"
*-*-*-*-*,B25-00116,B25-00116,고백을 10번찍는 이성에게 내 생각에 더 가까운 것은?,"“이 정도 끈기면, 나를 버틸 사람이다.”","집요함이 선을 넘는데?!"""""
*-*-*-*-*,B25-00117,B25-00117,직장에서 나를 더 행복하게 하는 것은?,함께 일하는 동료들과의 호흡,열정적으로 일한 만큼의 인정
*-*-*-*-*,B25-00118,B25-00118,친구의 집에 갔는데 바닥에 떨어진 음식을 태연하게 주워 먹는 친구를 본다면?,"“야, 여전히 비위가 좋구나?”_호탕하게 넘김","“아…,얘는 원래 이랬지.”_ 침묵으로 넘김"
*-*-*-*-*,B25-00119,B25-00119,나와 안 맞지만 친구관계를 유지해야 하는 상황이라면?,불편한 진실을 솔직하게 말한다,일단 참아보는 쪽을 택한다
*-*-*-*-*,B25-00120,B25-00120,당신이 추구하는 이상적인 인맥에 더 가까운 것은?,넓고 얕은 인맥으로 어디서나 환영받는 핵인싸,좁고 깊은 인연으로 영혼을 나누는 소수 정예
*-*-*-*-*,B25-00121,B25-00121,"애인과 갑자기 약속이 취소 되었을 때, 당신의 솔직한 속마음은?",나만의 시간이라며 환호,허무함에 다른 약속 찾기
*-*-*-*-*,B25-00122,B25-00122,"친구에게 돈 빌려준 나, 나의 마음을 더 불안하게 만드는 친구의 행동은?","단체방에선 잘 지내는데, 내 앞에서는 조용함","내 앞에서는 평소와 같은데, SNS에서는 세상 우울함"
*-*-*-*-*,B25-00123,B25-00123,"썸남/썸녀와 함께 밥 먹는데, 어느 상황이 더 민망할까?",계산할 때 내 카드가 안됨,이빨에 김 낀걸 집에와서 암
*-*-*-*-*,B25-00124,B25-00124,엄청 진지하게 친구의 고민을 공감하는 당신의 선택은?,무엇보다 진지하게 결과까지 관여 함,더 심각해지지 않게 관여하지 않으려 노력 함
*-*-*-*-*,B25-00125,B25-00125,"세월이 10년 이상 흐른 후, 최악의 흑역사를 보는 당신의 자세는?","""대체 왜 그랬니?” 보관은 하되, 비공개로 전환",그래… 저 때 난 순수했어. 평생 술안주용으로 공개
*-*-*-*-*,B25-00126,B25-00126,평생 함께할 친구는?,사업을 같이 할 수 있는 친구,뭘 안 해도 편안한 친구
*-*-*-*-*,B25-00127,B25-00127,꿈꾸던 이상형과 사귀지만 매일 싸운다면?,싸워도 내가 맞춰나갈 수 있다,지긋지긋해서 이상형을 바꾼다
