CodeName,Order,q_id,content,choice_a,choice_b
*-*-*-*-*,B25-00128,B25-00128,"스트레스 풀겠다고 술 마신 다음날 아침, 당신의 모습에 더 가까운 것은?",그저 해장국 앞에서 세상 행복,핸드폰 뒤지며 어제의 단서 수집 집중
*-*-*-*-*,B25-00129,B25-00129,"제 2의 인생의 시작, 50대에 어떤 삶을 살고 싶니?",익숙하고 안정적인 루틴있는 삶,새롭게 흥미로운 도전하는 삶
*-*-*-*-*,B25-00130,B25-00130,명절에 힐링을 위한 여행을 계획한다면?,가족 단톡방 알림 끄고 여행 간척하고 집 콕!,친구들이랑 “명절 끝났다!” 외치며 즉흥 여행
*-*-*-*-*,B25-00131,B25-00131,과거로 돌아가서 인간성 중 꼭 한가지를 포기해야 한다면?,유머감각_모든게 진지해지고 심각해짐,욕망_스트레스가 없지만 목표도 없음
*-*-*-*-*,B25-00132,B25-00132,"연예에 집중하다 보니 커리어가 흔들린다면,현재 내게 더 중요한 것은?",냉정하게 감정선 정리하는 현실파,커리어는 다시 쌓으면 돼 열정파
*-*-*-*-*,B25-00133,B25-00133,친구와 서운한 감정을 해소하는 방법은?,마음에 담아두고 티 안 나게 멀어지기,속 시원하게 다 말하고 어색해지기
*-*-*-*-*,B25-00134,B25-00134,오늘은 아침부터 스트레스 최고치! 피하고 싶은 상황은?,커피 한 모금도 못 마셨는데 마감 재촉,아무도 안 하는 어려운 업무 떠안기
*-*-*-*-*,B25-00135,B25-00135,"직장생활 중, 정말 참기 힘든 상황은?",내 공적을 동료가 가로채고 생색내기,퇴근 직전 상사가 폭탄 업무 던지기
*-*-*-*-*,B25-00136,B25-00136,"연예에 집중하다 보니 커리어가 흔들린다면, 현재 내게 더 중요한 것은?",냉정하게 감정선 정리하는 현실파,커리어는 다시 쌓으면 돼 열정파
*-*-*-*-*,B25-00137,B25-00137,직장인에게만 있는 소소한 행복을 선택 할 수 있다면?,점심시간 메뉴 선택권이 나에게 있다,점심시간 메뉴가 매일 다채롭게 나온다
*-*-*-*-*,B25-00138,B25-00138,직장 생활의 가장 큰 보상은?,퇴근 후는 오로지 나의 시간,정해진날 통장에 찍히는 숫자
*-*-*-*-*,B25-00139,B25-00139,갑자기 회사에서 연봉3배 고속 승진을 제안한다면?,워라벨 없어도 된다,인간관계 없어도 된다
*-*-*-*-*,B25-00140,B25-00140,"중요한 발표 직전, 당신의 마음을 잡는 방법을 고른다면?",“망해도 인생 어차피 코미디야” 정신승리 모드,“난 지금 TED에서 연설 중이다” 과몰입 상상 모드
*-*-*-*-*,B25-00141,B25-00141,주말을 가족과 보낼 때 더 선호하는 것은?,치밀한 계획과 예약으로 빈틈없는 동행,늦잠 자다가 즉흥적으로 결정해서 같이 있기
*-*-*-*-*,B25-00142,B25-00142,"고집있으신 부모님의 패션을 고쳐드릴 때, 더 좋은 아이디어는?",“이건 연예인 ooo 스타일이에요!”,"""이거 입으면 사진 진짜 잘 나와요.”"
*-*-*-*-*,B25-00143,B25-00143,이상형인 소개팅 상대가 내 MBTI를 묻는다면?,"""MBTI보다 중요한 건 우리 케미~"" 하고 넘기기",솔직히 말하고 찰떡궁합이라고 우기기
*-*-*-*-*,B25-00144,B25-00144,가족 간 '서운한 감정'이 생겼을 때 당신의 대처법은?,대화로 솔직하게 풀어나간다,시간이 해결해 줄 거라 믿고 참는다
*-*-*-*-*,B25-00145,B25-00145,나의 성장을 돕는 가족은?,뼈 때리는 조언으로 나를 자극하는 직언형 가족,무조건 내 편이 되어주는 칭찬형 가족
*-*-*-*-*,B25-00146,B25-00146,가족의 행복을 위한 당신의 초능력에 가까운 것은?,잔소리를 들어도 웃을 수 있는 무한 인내력,"“그냥~""을 정확히 해석하는 의미 번역 능력"
*-*-*-*-*,B25-00147,B25-00147,가족에게 들었을 때 의외로 더 기분 좋은 한마디는?,“그건 네가 제일 잘하지~”,“그건 미안했네…”
*-*-*-*-*,B25-00148,B25-00148,"절친이지만 무리한 부탁, 더 현명한 거절멘트는?","""이건 네 스스로 해결해"" 단칼형","""내가 도와주면, 넌 뭘 해 줄건대?"" 거래형"
*-*-*-*-*,B25-00149,B25-00149,"부모님과 가치관 차이로 부딪힐 때, 더 나은 해결법은?",프레젠테이션 모드로 나의 주장 설득,부모세대를 연구해서 공감 설득
*-*-*-*-*,B25-00150,B25-00150,지금 대화를 하고 있는 가족에게 가장 바라는 것은?,진심으로 배려하는 사랑,틀려도 믿어주는 용기
*-*-*-*-*,B25-00151,B25-00151,어떤 상담이 더 중요하다고 생각합니까?,뼈있는 조언,편안한 공감
*-*-*-*-*,B25-00152,B25-00152,주말 에너지를 충전하는 당신의 선택은?,집에서 온전히 휴식,사람들과 활기찬 만남
*-*-*-*-*,B25-00153,B25-00153,새로운 선택을 할 때 당신의 기준은?,고통있지만 성장 할 거라는 믿음,안정적으로 유지가 될 거라는 믿음
*-*-*-*-*,B25-00154,B25-00154,가장 만족스러운 인생을 살기 위한 핵심은?,후회없이 하고 싶은 것을 모두 해본다,미래의 안락함을 만들기 위해 지금은 이겨낸다
*-*-*-*-*,B25-00155,B25-00155,"솔로인 당신, 휴가를 완벽하게 보내는 방법은?","집에서 좋아하는 영화, 게임, 책과 함께.",약속을 잡고 사람들과 활기차게 어울리기.
*-*-*-*-*,B25-00156,B25-00156,공공장소 이지만 가장 참기 힘든 소리는?,누군가의 ASMR 급 쩝쩝 소리,알람 소리 “띠리링~ 띠리링~”
*-*-*-*-*,B25-00157,B25-00157,스스로 삶의 만족감을 얻는 더 큰 비중은?,개인의 성장과 자아실현,타인과의 조화로운 관계
*-*-*-*-*,B25-00158,B25-00158,중요한 선택의 기로에 섰을 때 나의 성향은?,힘들어도 새로운 도전을 한다,익숙하고 편안한 길을 택한다
*-*-*-*-*,B25-00159,B25-00159,지인들과 관계를 유지하는 나의 방식은?,"SNS로 소식 확인, '좋아요'만 눌러도 충분.",자주 만나 이야기하며 관계를 돈독히.
*-*-*-*-*,B25-00160,B25-00160,"예상치 못한 행운이 찾아왔을 때, 당신에게 떠오르는 것은?","하늘이 돕는구나, 기분 최고!","혹시 함정 아닐까, 의심부터 한다"
*-*-*-*-*,B25-00161,B25-00161,다시 태어나서 덜 괴로운 삶을 고를 수 있다면?,돈은 없지만 사랑하는 사람이 있는,돈은 많지만 사랑하는 사람이 없는
*-*-*-*-*,B25-00162,B25-00162,고민에 빠진 친구에게 도움이 되는 것은?,따끔한 현실 조언,따뜻한 공감과 위로
*-*-*-*-*,B25-00163,B25-00163,예측 불가능한 상황에서 당신의 선택은?,철저한 준비 위해 한 걸음 뒤로,일단 부딪혀 보기 위해 한 걸음 앞으로
*-*-*-*-*,B25-00164,B25-00164,"갑자기 받은 예상치 못한 선물, 더 당황스러운 상황은?","고가의 명품, 내 취향 아님","손수 만든 요상한 작품, 버릴 수도 없음"
*-*-*-*-*,B25-00165,B25-00165,사람들로부터 어떤 사람으로 기억되고 싶나요?,똑똑하고 유능한 사람,친근하고 재미있는 사람
*-*-*-*-*,B25-00166,B25-00166,더 최악인 음식 경험은?,메뉴사진과 다른 비주얼의 음식,메뉴사진과 같은데 맛이 이상한 음식
*-*-*-*-*,B25-00167,B25-00167,"완벽한 도전, 체험을 하기 위한 당신의 아이디어는?",친구가 고른 활동을 이유 묻지 않고 따라가기,한 달간 ‘처음 해보는 것들’ 리스트 완성 프로젝트
*-*-*-*-*,B25-00168,B25-00168,나의 성장을 위한 가장 효과적인 방법은?,실패를 통해 배우는 뼈저린 경험,작은 성공부터 쌓아가는 경험
*-*-*-*-*,B25-00169,B25-00169,"누군가의 SNS에  '예쁘다/잘생겼다'는 댓글을 달았을 때, 가장 마음에 드는 리액션은?",바로 하트 눌러주는 즉시 반응형,스토리에서만 반응하는 간접 반응형
*-*-*-*-*,B25-00170,B25-00170,어떤 상담관계가 더 중요하다고 생각합니까?,뼈있는 조언,편안한 공감
*-*-*-*-*,B25-00171,B25-00171,당신의 1년 성과를 미리 선택한다면?,일은 힘들었지만 SNS엔 행복해 보이는 해,통장은 두둑하지만 체력은 방전
*-*-*-*-*,B25-00172,B25-00172,당신의 행복을 위한 최고의 선택은?,돈은 많지만 흥미 없는 직업,돈은 적지만 흥미로운 직업
*-*-*-*-*,B25-00173,B25-00173,"휴식 시간, 당신의 완벽한 힐링법은?",반신욕 즐기기,요가수업 후 수다
*-*-*-*-*,B25-00174,B25-00174,"답 없는 문제에 직면했을 때, 제일 먼저 하는 행동을 고른다면?",검색창에 “이럴 땐 어떻게 해야 하나요” 입력,“일단 자고 나면 답이 떠오를 거야” 낮잠 선언
*-*-*-*-*,B25-00175,B25-00175,"MBTI 완전 반대인데, 이상하게 죽이 척척 맞는 상대에게 드는 생각을 하나 고른다면?",이해는 안되지만 웃음코드는 맞나보다~라고 생각,정반대라서 새롭고 재밌네~라고 생각
*-*-*-*-*,B25-00176,B25-00176,"잠자리에 들기 전, 당신의 습관은?",잠들 때까지 핸드폰 무한 스크롤,눈 감고 억지로 버티기
*-*-*-*-*,B25-00177,B25-00177,친구가 고민을 털어놓을 때 나의 반응은?,냉철하게 현실 조언,상처없게 공감
*-*-*-*-*,B25-00178,B25-00178,죽을 때 덜 후회할 것 같은 돈에 대한 당신의 생각은?,돈은 아끼는 것보다 의미 있게 쓰는 거야,돈을 모으는 건 나의 든든한 방패였어
*-*-*-*-*,B25-00179,B25-00179,가족의 행복 기준으로 더 나은 것은?,최대 다수의 행복_단합 잘됨,개인의 행복_ 단합 안 됨
*-*-*-*-*,B25-00180,B25-00180,인생에서 더 중요하다고 생각하는 인간관계는?,소수의 깊고 진실한 관계,다수의 넓고 흥미로운 관계
*-*-*-*-*,B25-00181,B25-00181,중요한 결정 앞에서 당신이 가장 따르고 싶은 것은?,주변의 경험 많은 인생 선배 조언,내 안의 직관과 새로운 도전 정신
*-*-*-*-*,B25-00182,B25-00182,가족에게 가장 듣기 싫은 말은?,“넌 왜 이렇게 예민하니?”,"""그럴 줄 알았다"""
*-*-*-*-*,B25-00183,B25-00183,더 빨리 잊어야 하는 인생 경험은?,누구보다 인정받으려다 내 자신을 잃었던 시간,무엇보다 사랑이 전부라고 믿었던 연애
*-*-*-*-*,B25-00184,B25-00184,어머니가 새삼 든든해 보일 때는?,"내가 아프다고 말 안 했는데, 약이랑 죽이 이미 준비돼 있을 때","누가 내 흉 보거나 힘든 일 있었을 때, 대신 분노해줄 때"
*-*-*-*-*,B25-00185,B25-00185,딸이 새삼 든든해 보일 때는?,내 취향을 기억해서 작은 선물 하나 건네줄 때,"감정이 복잡한 날, 말 한마디 없이 조용히 안아줄 때"
*-*-*-*-*,B25-00186,B25-00186,가족이 더 든든하게 느껴질 때는?,"오랜만에 모여 웃는데, 별 얘기 없어도 그냥 편할 때","가족 단톡방은 시끄럽지만, 필요할 땐 누구보다 빠를 때"
*-*-*-*-*,B25-00187,B25-00187,"내 아이가 안정적인 직업 대신, 유튜버 한다면?","""수익 나기 전까진 부업으로만 해.”_타협형",“그럼 채널 기획서부터 써와봐.”_투자형
*-*-*-*-*,B25-00188,B25-00188,"인생 마지막 날, 당신이 자녀들에게 듣고 싶은 한 마디는?",감사합니다,존경합니다
*-*-*-*-*,B25-00189,B25-00189,여동생이 새삼 든든하게 보일 때는?,"가족 문제나 부모님 일 있을 때, 침착하게 움직이는 모습","내가 실수했을 때, 놀리기보다 감싸줄 때"
*-*-*-*-*,B25-00190,B25-00190,"친구와 수다 중, 더 참기 힘든 빌런친구는?",“아 그거 나도~” 하고 자기 이야기로 갈아타는 친구,"""넌 어때?~"" 하고 나의 이야기를 캐묻는 친구"
*-*-*-*-*,B25-00191,B25-00191,친구에게 어떤 조언을 건네시겠습니까?,아프더라도 냉정한 사실,사실과 다르지만 따뜻한 위로
*-*-*-*-*,B25-00192,B25-00192,"연인과의 이별 사유, 더 절망적인 것은?",감정은 남았는데 관계가 끝난 경우,감정은 식었는데 관계만 남은 경우
*-*-*-*-*,B25-00193,B25-00193,"짝사랑 성공률 49%, 성공률 1%를 올리기 위한 작은 노력을 고른다면?",상대방의 관심사를 전공과목 수준으로 공부하기,자연스러운 대화를 위해 “뭐 해?”톡 보낼 예술적인 타이밍 찾기
*-*-*-*-*,B25-00194,B25-00194,"연인과 대판 싸운 후, 더 나은 화해의 방법은?",말 대신 포옹으로 리셋_ 감각자극,둥근 손글씨 편지 전달하기_감성자극
*-*-*-*-*,B25-00195,B25-00195,연인과 싸운 후 더 민망한 상황은?,싸운 직후에 비싼 배달음식 도착,그 다음날 비싼 예약 알림이 뜰 때
*-*-*-*-*,B25-00196,B25-00196,친구의 단점을 보며 당신이 친구를 돕는 방식에 더 가까운 것은?,답답해도 참고 조용히 지켜봐 준다,솔직하게 말해주고 개선을 돕는다
*-*-*-*-*,B25-00197,B25-00197,어떤 친구 스타일이 더 좋아?,세상 진지하게 본인의 바보짓 얘기 하는 친구,세상 웃기게 본인의 절망스러웠던 얘기 하는 친구
*-*-*-*-*,B25-00198,B25-00198,친한 친구와의 약속에 임하는 당신은?,5분 정도 늦어도 여유로운 편,30분 먼저 가서 기다리는 편
*-*-*-*-*,B25-00199,B25-00199,"이상형과 연애를 선택한다면, 그 이상형은?",엄청난 소식가,엄청난 대식가
*-*-*-*-*,B25-00200,B25-00200,연애할 때 더 마주치기 싫은 상황은?,나보다 상대방이 날 더 집착하는 경우,내가 상대방에게 집착하게 되는 경우
*-*-*-*-*,B25-00201,B25-00201,짝사랑을 성공하기 위한 나의 전략에 가까운 것은?,주변을 맴돌며 계속 신경 쓰이게 만든다,얼굴 볼 때마다 플러팅을 한 번씩 날린다
*-*-*-*-*,B25-00202,B25-00202,친한 친구와 '진정한 우정'을 유지하기 위한 당신의 선택은?,불편한 진실이라도 솔직하게 말한다,친구 기분을 위해 거짓말이라도 해준다
*-*-*-*-*,B25-00203,B25-00203,애인과 갑자기 약속이 취소 되었을 때 당신의 속마음은?,나만의 시간이라며 환호,허무함에 다른 약속 찾기
*-*-*-*-*,B25-00204,B25-00204,당신이 추구하는 이상적인 친구 관계는?,넓고 얕은 인맥으로 어디서나 환영받는 핵인싸,좁고 깊은 인연으로 영혼을 나누는 소수 정예
*-*-*-*-*,B25-00205,B25-00205,"친구에게 돈 빌려준 후, 나의 마음을 더 불안하게 만드는 친구의 행동은?","내 앞에서는 조용한데, 단체방에선 잘 지냄",SNS에 “요즘 돈이 왜 이렇게 빨리 나가지?” 푸념
*-*-*-*-*,B25-00206,B25-00206,썸 타는 중 제일 피곤한 순간은?,"""이 타이밍에 답장해도 되나” 고민될 때","답장은 늦는데, 인스타 스토리는 바로 올릴 때"
*-*-*-*-*,B25-00207,B25-00207,친한 친구의 솔직한 피드백 요청에 당신의 선택은?,무엇보다 진지하게 결과까지 관여 함,심각해지지 않게 마음을 풀어주는 정도만 함
*-*-*-*-*,B25-00208,B25-00208,지금 대화를 하는 친구에게 가장 바라는 것이 있다면?,어떤 비밀도 없는 솔직함,부담없이 부를 수 있는 믿음
*-*-*-*-*,B25-00209,B25-00209,"새로운 사람과 관계를 맺을 때, 당신이 더 중요하게 생각하는 것은?",깊은 대화를 통해 서로의 진정한 모습을 알아가는 것,함께 즐거운 경험을 공유하며 편안한 유대감을 쌓는 것
*-*-*-*-*,B25-00210,B25-00210,업무가 밀려 주말에도 일해야 한다면?,회처 근처 카페에서 노트북 펴기,내 방 침대에서 노트북 펴기
*-*-*-*-*,B25-00211,B25-00211,둘 중 한 명과 일해야 한다면?,매일 요령 피우는 직장 동료,날 투명인간 취급하는 직장 동료
*-*-*-*-*,B25-00212,B25-00212,"만약 당신이  AI 개발 총괄 책임자라면, 어떤 방향을 택할까요?",첨단 기술 확보를 위한 투자,인간 존중 윤리 확보
*-*-*-*-*,B25-00213,B25-00213,회사에서 내가 추구하는 인간형은?,누구와도 친하게 지내는 핵인싸,맡은 일만 조용히 처리하는 능력자
*-*-*-*-*,B25-00214,B25-00214,당신이 직장생활을 선택하는 이유는?,안정적 사회 울타리,고정적 꾸준한 수입
*-*-*-*-*,B25-00215,B25-00215,"퇴근 후 업무 연락 받는다면, 더 최악인 것은?",긴급 회의 링크 팀 카톡받기,“급한 건 아닌데요~” 팀 카톡받기
*-*-*-*-*,B25-00216,B25-00216,"퇴근 후 업무 연락, 더 최악인 것은?",긴급 회의 링크 카톡,급한 건 아닌데요~팀 카톡
*-*-*-*-*,B25-00217,B25-00217,억지로 참석한 모임에서 더 피곤하게 만드는 사람은?,뻔히 보이는 병약 코스프레,술 한 잔 마시고 본인 이야기에 취하신
*-*-*-*-*,B25-00218,B25-00218,"가치관이 너무 다른 동료와 일할 때, 더 현명한 해결방법은?",맞추기 포기하고 필요할 때만 만나기,"""틀린 게 아니라 다른 거야.” 스스로 최면결기"
*-*-*-*-*,B25-00219,B25-00219,퇴근 후 업무 연락 차단하는 방법은?,회사에 폰 놔두고 오기,아예 폰을 꺼 두기
*-*-*-*-*,B25-00220,B25-00220,직장에서 얻고 싶은 가장 큰 가치는?,압도적인 성과로 인정받는 것,동료들과 깊은 유대감을 형성하는 것
*-*-*-*-*,B25-00221,B25-00221,친구의 속상한 이야기를 들었을 때 당신이 해줄 수 있는 것은?,객관적으로 문제점을 분석해준다,무조건 네 편이 되어 공감해준다
*-*-*-*-*,B25-00222,B25-00222,로또 1등 당첨금 1억을 받는다면?,"일단 대출 갚고, 맥북 하나 사자","반은 ETF, 반은 창업 자본금."
*-*-*-*-*,B25-00223,B25-00223,짝사랑 상대에게 고백은 해야 할까?,차이더라도 내 마음 솔직하게 표현,"친구로 남는 게 행복, 고백은 참기"
*-*-*-*-*,B25-00224,B25-00224,아들이 새삼 든든해 보일 때는?,가족들 앞에서 내 편 들어줄 때,무거운 짐 아무렇지 않게 들어주는 모습
*-*-*-*-*,B25-00225,B25-00225,친누나가 든든해 보일 때는?,"어디 가서도 사람 대하는 법, 센스 있게 알려줄 때",평소엔 잔소리만 하더니 내가 진짜 힘들 땐 말 없이 용돈 꽂아줄 때
*-*-*-*-*,B25-00226,B25-00226,남동생이 새삼 든든하게 보일 때는?,"밖에서 누가 나한테 뭐라 할 때, 단번에 내 편 들어줄 때","부모님 일로 정신없을 때, 묵묵히 도와주는 모습"
*-*-*-*-*,B25-00227,B25-00227,퇴근 후 당신의 선택은?,침대로 직행_바로 잠들기,아무리 피곤해도 정리 후 자기
*-*-*-*-*,B25-00228,B25-00228,더 선호하는 삶의 방식은?,지금 땡길 때 배달시켜야 해!!,참았다가 주말에 맛집으로 가자!!
*-*-*-*-*,B25-00229,B25-00229,연인에게 나의 솔직함이란?,상처 줄까 봐 솔직하지 못하기,상처 줘도 솔직하게 말하기
*-*-*-*-*,B25-00230,B25-00230,소개팅 중 상대가 잠시 자리를 비웠다가 다시 돌아왔을 때 내 모습은?,폰 보며 집중하는 척,주변 풍경 구경하는 척
*-*-*-*-*,B25-00231,B25-00231,이상적인 연인 관계를 위한 당신이 더 선호 하는 것은?,각자의 인맥은 지켜줌(신뢰),작은 습관까지 챙긴다(관심)
*-*-*-*-*,B25-00232,B25-00232,가장 선호하는 연인관계는?,늘 안정적이고 깊은 관계,늘 새롭고 짜릿한 관계
*-*-*-*-*,B25-00233,B25-00233,"늦잠 잔 아침, 바쁜 하루 당신의 스타일은?",수수하게 맨 얼굴로 하루종일,짬짬이 꾸며 퇴근 전에는 풀메이크업
*-*-*-*-*,B25-00234,B25-00234,애인에게 사회생활에 대해 듣고 싶은 말은?,뼈 때려도 솔직한 조언,내 기분 맞춰주는 위로
*-*-*-*-*,B25-00235,B25-00235,"연인과 싸운 뒤, 해결을 위한 나의 선택은?",하루안에 싸우더라도 불편한 진실알기,하루동안만 오해해도 편안한 침묵
*-*-*-*-*,B25-00236,B25-00236,연인과의 행복을 위한 당신의 초능력에 가까운 것은?,기분 1초 만에 감지하는 눈치 텔레파시,웃음 유발하는 무한 리액션력
*-*-*-*-*,B25-00237,B25-00237,"연인의 속삭임, 어떤 쪽이 더 신뢰가 가?",배려있는 듣기 좋은 칭찬,섭섭하지만 인정되는 조언
*-*-*-*-*,B25-00238,B25-00238,"솔직히 ""연인에게 난 이렇게 보이고 싶다"" 에 더 가까운 것은?","존재자체가 심장 어택형(매력,애교, 귀염)",치명적인 섹시함 무한 루프형
*-*-*-*-*,B25-00239,B25-00239,"연인과 말다툼 후, 더 난처한 상황은?","크게 감정 상했는데, 상대방은 쉽게 풀린 듯 보일 때","서로 사과했는데, 서운함이 떨쳐지지 않을 때"
*-*-*-*-*,B25-00240,B25-00240,연애 갈등 중 당신이 더 참기 힘든 상황은?,상대방의 지나친 간섭과 집착,상대방의 무관심과 소홀함
*-*-*-*-*,B25-00241,B25-00241,내가 연인과 함께하고 싶은 순간에 가까운 상황은?,"하루가 너무 지쳐서, 말 없이 옆에 있어주는 밤","비 오는 날, 카페 창가에서 조용히 음악 들을 때"
*-*-*-*-*,B25-00242,B25-00242,"정말 힘들었던 일주일을 보낸 후, 더 나은 주말 계획은?",드라마 정주행으로 감정 리셋,나를 위한 7시간 쇼핑_생각 리셋
*-*-*-*-*,B25-00243,B25-00243,"고민을 털어 놓을 때, 더 최악인 연인의 반응은?","네가 너무 예민한 걸 수 있어”_외면형""","“나도 힘든데 너까지 힘들면 어떡해?_불만형"""
*-*-*-*-*,B25-00244,B25-00244,평화로운 연예/결혼 생활을 위한 전략을 하나 고른다면?,"""밥 먹을까"" 공복 상태에서는 대화 금지!","""당신 말이 맞네"" 이건 평화 유지 기술!"
*-*-*-*-*,B25-00245,B25-00245,당신이 상대방의 애정에 만족하는 가장 중요한 척도는?,서로 말 안 해도 감정의 타이밍이 맞을 때,스킨십보다 대화로 먼저 달래줄 때
*-*-*-*-*,B25-00246,B25-00246,"연인과의 첫 스킨쉽 후, 당신이 원하는 다음 스킨쉽 시기는?",24시간 이내에 자연스럽게 다시 시도,또 분위기가 잡힐 때까지 기다리기
*-*-*-*-*,B25-00247,B25-00247,당신의 연인에게 지금 제일 바라는 것은?,진한 스킨십,깊은 공감
*-*-*-*-*,B25-00248,B25-00248,이성과 관계할 때 상대방이 더 매력적인 순간은?,눈빛에서 모든 감정이 느껴 질 때,귓가에 속삭일 때
*-*-*-*-*,B25-00249,B25-00249,"정답이 없는 요즘 세상, 부모로서 당신의 생각에 가까운 것은?","“내가 가르치는 게 아니라, 이제는 아이한테 배우는 세상이다.”","""세상이 변해도, 결국 돈이 있으면 해결되더라"""
*-*-*-*-*,B25-00250,B25-00250,친오빠가 든든해 보일 때는?,"평소엔 말도 없는데, 내가 힘들 때 먼저 연락 올 때",가족 대신 나서서 무거운 일 처리해줄 때
*-*-*-*-*,B25-00251,B25-00251,아버지가 새삼 든든해 보일 때는?,"‘괜찮아, 내가 알아서 해줄께’한마디 할 때",“넌 해낼 줄 알았어.”라고 말해줄 때
*-*-*-*-*,B25-00252,B25-00252,"술 마신 다음날 아침, 당신의 모습에 더 가까운 것은?",그저 해장국 앞에서 세상 행복,핸드폰 뒤지며 어제의 단서수집 집중
