CodeName,Order,q_id,content,choice_a,choice_b,content_en,choice_a_en,choice_b_en
*-*-*-*-*,*-*-*-00001,B26-00001,"힘든 일이 있어 고민 상담을 할 때, 내가 더 원하는 방식은?",뼈 때리는 팩폭,따뜻한 위로,"When I need advice, what do I prefer?",Harsh truth,Warm comfort
*-*-*-*-*,*-*-*-00002,B26-00002,"지친 한 주를 보내고 맞이한 주말, 나에게 진정한 충전은?",집콕 힐링,밖에서 놀기,"After a tiring week, what truly recharges me on the weekend?",Home relaxation,Going out
*-*-*-*-*,*-*-*-00003,B26-00003,친구가 정말 난해하고 이상한 패션을 하고 왔을 때 나의 반응은?,솔직히 말하기,그냥 넘어감,A friend wears a really weird outfit. My reaction?,Honest feedback,Ignore it
*-*-*-*-*,*-*-*-00004,B26-00004,"중요한 결정을 내려야 할 때, 내가 더 신뢰하는 판단 기준은?",데이터 분석파,직감 승부파,"When making important decisions, what do I trust more?",Data analysis,Gut feeling
*-*-*-*-*,*-*-*-00005,B26-00005,내가 진정으로 추구하는 이상적인 인간관계의 모습은?,좁고 깊은 소수,넓고 얕은 인싸,What's my ideal relationship style?,"Small, deep circle","Large, casual network"
*-*-*-*-*,*-*-*-00006,B26-00006,"새로운 진로를 선택해야 할 때, 나에게 더 중요한 기준은?",고통 동반 급성장,맘 편한 안정감,"When choosing a new career path, what matters more?",Painful growth,Easy stability
*-*-*-*-*,*-*-*-00007,B26-00007,연애를 할 때 나에게 더 중요하고 필요한 감정은?,불타는 설렘,편안한 안정감,"In a relationship, what feeling is more important to me?",Excitement,Comfort
*-*-*-*-*,*-*-*-00008,B26-00008,"결정적인 순간, 나를 움직이는 것은?",냉철한 이성,가슴 뛰는 직관,"In a crucial moment, what moves me?",Logic,Intuition
*-*-*-*-*,*-*-*-00009,B26-00009,사람 많은 길에서 꽈당! 넘어졌을 때 나의 대처법은?,쪽팔림 참고 벌떡,아파하며 누워있기,I trip and fall in a crowded place! What do I do?,Get up fast,Lie there in pain
*-*-*-*-*,*-*-*-00010,B26-00010,내가 생각하는 진정으로 만족스러운 인생의 방향은?,하고픈 거 다 하기,미래 위해 지금 참기,What's a truly satisfying life to me?,Do everything,Sacrifice now
*-*-*-*-*,*-*-*-00011,B26-00011,둘 중 나에게 더 큰 스트레스를 주는 상황은?,나 때문에 민폐,남 때문에 피해,Which situation stresses me out more?,Inconveniencing others,Being inconvenienced
*-*-*-*-*,*-*-*-00012,B26-00012,나의 삶을 이끌어가는 주된 원동력은?,평온한 일상,짜릿한 도전,What's my main driving force in life?,Peaceful routine,Thrilling challenge
*-*-*-*-*,*-*-*-00013,B26-00013,솔로인 내가 휴가를 가장 완벽하게 보내는 방법은?,방구석 넷플릭스,친구들과 파티,"As a single person, how do I spend the perfect vacation?",Netflix binge,Party with friends
*-*-*-*-*,*-*-*-00014,B26-00014,"갑자기 큰돈이 생겼을 때, 가장 먼저 하고 싶은 일은?",명품관 싹쓸이,해외여행 티켓팅,"If I suddenly got a lot of money, what's the first thing I'd do?",Luxury shopping spree,Book a trip
*-*-*-*-*,*-*-*-00015,B26-00015,"스트레스가 쌓였을 때, 나만의 확실한 해소법은?",혼자만의 시간,친구들과 수다,What's my go-to stress reliever?,Solo time,Chat with friends
*-*-*-*-*,*-*-*-00016,B26-00016,SNS에서 나를 불편하게 만드는 게시물을 봤을 때는?,조용히 차단,댓글로 참교육,See something annoying on social media?,Silent block,Comment takedown
*-*-*-*-*,*-*-*-00017,B26-00017,대화 중 숨 막히는 어색한 침묵이 흐를 때 나는?,아무 말 대잔치,누가 말할 때까지 존버,That awkward silence in a convo?,Word vomit,Wait it out
*-*-*-*-*,*-*-*-00018,B26-00018,공공장소에서 정말 참기 힘든 소음 빌런 유형은?,귀 씹어먹는 쩝쩝충,네버엔딩 알람충,Most annoying noise-maker in public?,Loud chewing,Endless alarms
*-*-*-*-*,*-*-*-00019,B26-00019,기대했던 해외여행에서 마주한 최악의 상황은?,매번 한국이랑 비교,현지인도 거르는 맛집,Worst travel experience?,Constant comparing,Bad local food
*-*-*-*-*,*-*-*-00020,B26-00020,"갈등 상황이 발생했을 때, 내가 선호하는 해결 방식은?",돌직구 해결,빙빙 돌려 말하기,Preferred conflict resolution?,Direct approach,Beat around bush
*-*-*-*-*,*-*-*-00021,B26-00021,사람들 많은 곳에서 저지른 더 끔찍한 실수는?,천둥번개 방귀,공룡급 트림,More mortifying public mistake?,Loud fart,Dino-burp
*-*-*-*-*,*-*-*-00022,B26-00022,"스트레스가 폭발하기 직전, 나에게 더 필요한 것은?",익명판에 하소연,집에서 허공에 욕설,"About to explode from stress, need?",Vent anonymously,Yell at home
*-*-*-*-*,*-*-*-00023,B26-00023,내가 꿈꾸는 더 완벽한 인생의 모습은?,하고 싶은 일 하기,하기 싫은 일 안 하기,Dream life?,Do what I want,Avoid dislikes
*-*-*-*-*,*-*-*-00024,B26-00024,내가 삶의 만족감을 얻는 더 확실한 방법은?,신상 풀세트 장착,폰 끄고 여행 가기,Surest path to life satisfaction?,New gear,Digital detox
*-*-*-*-*,*-*-*-00025,B26-00025,중요한 선택을 앞두고 나를 더 방해하는 것은?,훈수 두는 지인들,먹통 된 와이파이,Hindrance when making big choices?,Advice from friends,Dead wifi
*-*-*-*-*,*-*-*-00026,B26-00026,생각만 해도 이불킥! 더 지워버리고 싶은 흑역사는?,전 애인 염탐하다 하트,짝사랑 고백 후 차임,Cringiest memory to erase?,Ex-stalking fail,Rejected confession
*-*-*-*-*,*-*-*-00027,B26-00027,지인들과 관계를 유지하는 나의 주된 방식은?,눈팅과 좋아요,만나서 입 털기,Main way to keep up with friends?,Lurking and likes,Hang and chat
*-*-*-*-*,*-*-*-00028,B26-00028,엘리베이터에서 애매하게 아는 이웃을 만났을 때는?,폰만 보며 외면,어색해도 스몰토크,Awkward elevator with a neighbor?,Phone avoidance,Awkward small talk
*-*-*-*-*,*-*-*-00029,B26-00029,"우연히 내 뒷담화를 들었을 때, 누가 더 나은?",절친(이유나 묻자),모르는 사람(무시),"Hear someone talking smack, who's better?",Close friend (Ask why),Stranger (Ignore)
*-*-*-*-*,*-*-*-00030,B26-00030,"로또 1등에 당첨된 순간, 가장 먼저 드는 생각은?",드디어 내 세상!,혹시 몰카 아냐?,"Win the lottery, first thought?",My time!,Hidden camera?
*-*-*-*-*,*-*-*-00031,B26-00031,다음 생에 다시 태어난다면 어떤 삶을 살고 싶은?,돈 없는 인기쟁이,돈 많은 왕따,"If you could be reborn, what kind of life would you want?","Popular, broke","Rich, loner"
*-*-*-*-*,*-*-*-00032,B26-00032,"친구가 조언을 구할 때, 내가 피드백하는 스타일은?",무한 공감과 위로,팩트 체크와 조언,"When a friend asks for advice, what's your feedback style?",Endless empathy,Fact check & advice
*-*-*-*-*,*-*-*-00033,B26-00033,신이 나에게 한 가지 능력을 준다면 뭘 고를까?,아인슈타인 두뇌,연예인급 매력,"If a god gave you one power, what would you choose?",Einstein brain,Celebrity charisma
*-*-*-*-*,*-*-*-00034,B26-00034,직장을 선택할 때 나에게 더 중요한 1순위는?,연봉 킹,워라밸 킹,"When choosing a job, what's your top priority?",Salary king,Work-life balance king
*-*-*-*-*,*-*-*-00035,B26-00035,고민에 빠진 친구를 돕는 나만의 방식은?,머리 맞대고 분석,바람 쐬러 나가기,What's your way of helping a friend in trouble?,Analyze together,Go for fresh air
*-*-*-*-*,*-*-*-00036,B26-00036,함께 여행 갈 때 더 잘 맞는 메이트의 성향은?,즉흥적인 P,계획적인 J,"When traveling, what kind of travel mate suits you best?",Spontaneous P,Planner J
*-*-*-*-*,*-*-*-00037,B26-00037,예측불허의 돌발 상황이 닥쳤을 때 나의 대처법은?,일단 멈춤,일단 고(Go),"When an unpredictable situation hits, how do you react?",Pause first,Just go
*-*-*-*-*,*-*-*-00038,B26-00038,아침에 눈 떴을 때 저절로 이루어졌으면 하는 마법은?,풀세팅 되는 얼굴,저절로 되는 청소,What magic do you wish would happen when you wake up?,Perfect look,Automatic cleaning
*-*-*-*-*,*-*-*-00039,B26-00039,평생 동안 딱 한 가지 능력만 가질 수 있다면?,살 안 찌는 체질,지치지 않는 체력,If you could only have one ability for life?,Never gain weight,Endless energy
*-*-*-*-*,*-*-*-00040,B26-00040,휴식이 필요할 때 내가 더 선호하는 힐링 장소는?,뜨끈한 찜질방,땀 흘리는 등산,"When you need a break, what's your preferred healing place?",Hot sauna,Sweaty hike
*-*-*-*-*,*-*-*-00041,B26-00041,아끼던 물건을 잃어버렸을 때 나의 행동은?,찾을 때까지 뒤짐,쿨하게 새로 삼,"If you lose a treasured item, what do you do?",Search until found,"Cool, just buy new"
*-*-*-*-*,*-*-*-00042,B26-00042,집에 꼭 전시해야 한다면 어떤 선물이 더 나은?,내 취향 아닌 명품,친구가 만든 괴작,"If you had to display a gift at home, which is better?",Fancy thing I hate,Friend's weird art
*-*-*-*-*,*-*-*-00043,B26-00043,내가 무언가에 집중할 때 더 선호하는 환경은?,절간 같은 고요함,적당한 카페 소음,"When focusing, what environment do you prefer?",Dead silence,Cafe noise
*-*-*-*-*,*-*-*-00044,B26-00044,먼 훗날 사람들에게 어떤 사람으로 기억되고 싶은?,유능한 천재,유쾌한 사람,How do you want to be remembered in the distant future?,Talented genius,Fun person
*-*-*-*-*,*-*-*-00045,B26-00045,나의 생활 패턴과 더 잘 맞는 바이오리듬은?,올빼미형,아침형,Which biorhythm fits your lifestyle better?,Night owl,Early bird
*-*-*-*-*,*-*-*-00046,B26-00046,한여름에 가질 수 있는 유용한 초능력 하나는?,땀이 향수로 변함,모기 결계 생성,Best summer superpower?,Sweat turns to perfume,Mosquito shield
*-*-*-*-*,*-*-*-00047,B26-00047,내가 꿈꾸는 부자의 모습에 더 가까운 것은?,유명 인사 셀럽,숨겨진 찐부자,Closer to your dream of being rich?,Famous celeb,Secretly rich
*-*-*-*-*,*-*-*-00048,B26-00048,내가 유명해진다면 어떤 방식으로 살고 싶은?,세상을 바꾸는 영웅,소통하는 인플루언서,"If you became famous, how would you live?",World-changing hero,Relatable influencer
*-*-*-*-*,*-*-*-00049,B26-00049,맛집을 찾아갔는데 더 실망스러운 상황은?,사진기만,노맛탱,More disappointing restaurant experience?,Just photogenic,Tastes awful
*-*-*-*-*,*-*-*-00050,B26-00050,학창 시절로 돌아간다면 어떤 능력을 갖고 싶은?,전교 1등 두뇌,전교 회장 인기,Back to school with what ability?,Top of class brain,Class president popularity
*-*-*-*-*,*-*-*-00051,B26-00051,친구가 새로운 도전을 제안할 때 나의 반응은?,군말 없이 따라감,도전 리스트 짬,"Friend suggests a new challenge, your reaction?",Just go along,Brainstorm challenge list
*-*-*-*-*,*-*-*-00052,B26-00052,나를 더 열심히 움직이게 만드는 동기부여 방식은?,매운맛 피드백,무한 칭찬 감옥,What motivates you more?,Harsh feedback,Endless praise
*-*-*-*-*,*-*-*-00053,B26-00053,나를 더 크게 성장시키는 환경은?,벼랑 끝 생존기,칭찬 가득 꽃길,What environment helps you grow more?,Edge of survival,Path of praise
*-*-*-*-*,*-*-*-00054,B26-00054,3년만 죽도록 고생하면 부자가 된다! 도전?,콜! 버틴다,안 해! 현재가 중요,Work like crazy for 3 years to get rich? Deal?,Deal! Endure,No! Value the present
*-*-*-*-*,*-*-*-00055,B26-00055,SNS에 내 외모를 칭찬하는 댓글이 달렸을 때는?,1초 만에 하트 꾹,스토리로 은근 자랑,Someone compliments your looks on social media?,Like immediately,Humble brag on story
*-*-*-*-*,*-*-*-00056,B26-00056,갑자기 100억이 생겼는데 더 최악인 상황은?,세금으로 다 뜯김,돈 쓸 친구가 없음,"Suddenly have $10 million, worse situation?",All taken by taxes,No friends to spend it with
*-*-*-*-*,*-*-*-00057,B26-00057,전혀 생각지도 못했던 사람에게 고백을 받는다면 기분은?,아니면 칼거절,혹시 모르니 킵,"Unexpected confession of love from someone, how would you feel?",Hard no,"Maybe, keep options open"
*-*-*-*-*,*-*-*-00058,B26-00058,스트레스를 풀 때 나에게 더 효과적인 방법은?,방구석 명상,노래방 떼창,Better stress relief?,Meditation at home,Karaoke blast
*-*-*-*-*,*-*-*-00059,B26-00059,지난 1년의 성과를 측정하는 나만의 기준은?,팔로워 숫자,통장 잔고 숫자,How do you measure your past year's success?,Follower count,Bank balance
*-*-*-*-*,*-*-*-00060,B26-00060,둘 중 하나의 인생을 선택해야 한다면 무엇을 택할까?,꿈 포기한 벼락부자,가난한 예술가,"Choosing between two lives, which would you choose?","Rich, dreamless",Poor artist
*-*-*-*-*,*-*-*-00061,B26-00061,스트레스가 폭발하기 직전! 나만의 해소법은?,폭식으로 조지기,운동으로 조지기,About to explode from stress! What's your way to relieve it?,Ravage with food,Ravage with exercise
*-*-*-*-*,*-*-*-00062,B26-00062,"함께 일할 사업 파트너, 나라면 누구?",일잘러 개차반,일못러 천사,Who would I pick as a business partner?,Talented jerk,Incompetent angel
*-*-*-*-*,*-*-*-00063,B26-00063,평생 함께하고 싶은 친구의 스타일은?,맨날 싸우는 개그 콤비,진지한 철학자 콤비,What kind of friend for life?,"Funny, always fighting","Serious, philosophical"
*-*-*-*-*,*-*-*-00064,B26-00064,직업 만족도를 결정하는 더 중요한 기준은?,노잼 고소득,꿀잼 저소득,What's more important for job satisfaction?,"Boring, high pay","Fun, low pay"
*-*-*-*-*,*-*-*-00065,B26-00065,"나른한 휴일 오후, 나에게 필요한 힐링은?",와인 한잔의 여유,수다 한판의 재미,"Lazy Sunday afternoon, what kind of chill?",Glass of wine,Fun chat
*-*-*-*-*,*-*-*-00066,B26-00066,내가 생각하는 진정한 행복의 기준은?,자기 만족,타인 인정,What's your measure of true happiness?,Self-satisfaction,External validation
*-*-*-*-*,*-*-*-00067,B26-00067,도저히 답이 없는 문제를 만났을 때 해결법은?,AI랑 밤샘 토론,일단 자고 생각,"Faced with an impossible problem, what's the solution?",All-night AI debate,Sleep on it
*-*-*-*-*,*-*-*-00068,B26-00068,짝사랑 고백 성공을 위한 나만의 전략은?,묵묵히 기다리기,변신해서 어필하기,"Confessing a crush, what's your strategy?",Patiently wait,Total makeover
*-*-*-*-*,*-*-*-00069,B26-00069,나와 MBTI가 정반대인 사람에게 끌리는 이유는?,개그 코드 맞음,완전 달라서 궁금함,Attracted to someone with the opposite MBTI because?,Same humor,Intriguing differences
*-*-*-*-*,*-*-*-00070,B26-00070,지금 당장 내가 사귀고 싶은 연애 상대는?,심장 터지는 외모,마음 편안한 성격,Who do you want to date right now?,Stunning looks,Comforting personality
*-*-*-*-*,*-*-*-00071,B26-00071,무인도에 딱 한 권의 책만 가져갈 수 있다면 무엇을?,백과사전,해리포터,"Stuck on a desert island, one book only, which one?",Encyclopedia,Harry Potter
*-*-*-*-*,*-*-*-00072,B26-00072,다이어트 중 배고픔을 참는 나만의 꿀팁은?,먹방 보며 대리만족,얼음 씹으며 참기,"Dieting, how do you handle hunger?",Mukbang fix,Chew ice
*-*-*-*-*,*-*-*-00073,B26-00073,썸 탈 때 나를 더 심쿵하게 만드는 포인트는?,취향 통하는 대화,우연한 스킨십,What's a heart-fluttering moment when you're flirting?,Shared interests,Accidental touch
*-*-*-*-*,*-*-*-00074,B26-00074,호감 가는 사람에게 나를 어필하는 방법은?,반전 허당미,편안한 익숙함,How to impress someone you like?,Unexpected clumsiness,Familiar comfort
*-*-*-*-*,*-*-*-00075,B26-00075,지친 날 친구가 부탁을 해올 때 나의 선택은?,투덜대며 들어줌,단호하게 거절,"Tired, and a friend asks for a favor. Your move?",Grumbling acceptance,Firm refusal
*-*-*-*-*,*-*-*-00076,B26-00076,인생의 번아웃이 왔을 때 나를 위한 처방은?,잠수 타기,새로운 취미 찾기,Life's got you burnt out. What's your Rx?,Disappear,New hobby
*-*-*-*-*,*-*-*-00077,B26-00077,친구가 말도 안 되는 황당한 고민을 털어놓을 때는?,욕하면서 상담,더 황당하게 대꾸,"A friend vents about some ridiculous problem, what would you do?",Roast and advise,Reply even crazier
*-*-*-*-*,*-*-*-00078,B26-00078,"둘 중 하나의 돈 복을 선택할 수 있다면, 나라면?",지금 100억,30년 뒤 200억,"Choose one pot of gold, which would I pick?",$10M now,$20M in 30 yrs
*-*-*-*-*,*-*-*-00079,B26-00079,"새벽 2시, 참을 수 없는 야식의 유혹 앞에서 나는?",내일 후회해도 먹자,배고파도 참자,"2 AM. Late-night cravings hitting hard, what would I do?","Eat, regret later","Resist, stay hungry"
*-*-*-*-*,*-*-*-00080,B26-00080,"잠이 오지 않는 밤, 잠들기 위해 내가 하는 일은?",폰 보며 밤새기,눈 감고 양 세기,Can't sleep. What's your go-to?,Phone all night,Count sheep
*-*-*-*-*,*-*-*-00081,B26-00081,새로운 도전을 시작할 때 나의 스타일은?,완벽한 계획 수립,일단 저지르고 수습,"Starting a new challenge, your style?",Perfect plan,Just dive in
*-*-*-*-*,*-*-*-00082,B26-00082,모르는 사람들 모임에 갔을 때 나의 포지션은?,MC 빙의해서 주도,구석에서 관전,"At a gathering of strangers, you are?",The MC,Wallflower
*-*-*-*-*,*-*-*-00083,B26-00083,내가 생각하는 돈에 대한 올바른 철학은?,써야 돈이다,모아야 돈이다,Your philosophy about money?,Spend it,Save it
*-*-*-*-*,*-*-*-00084,B26-00084,절대 양보할 수 없는 탕수육 먹는 방법은?,부먹파,찍먹파,Tangsooyuk (sweet & sour pork) – how MUST you eat it?,Sauce poured on,Sauce on the side
*-*-*-*-*,*-*-*-00085,B26-00085,친구 생일 선물로 더 주고 싶은 것은?,실용성 갑 아이템,예쁜 쓰레기,"For a friend's birthday, better to give?",Super useful,Cute & useless
*-*-*-*-*,*-*-*-00086,B26-00086,어릴 적 놀이터에서 내가 더 좋아했던 것은?,그네 독점왕,시소 독점왕,"At the playground as a kid, you preferred?",Swing hog,Seesaw hog
*-*-*-*-*,*-*-*-00087,B26-00087,놀이터에서 겪었던 더 서러운 최악의 상황은?,영원한 술래,투명인간,Worse playground experience?,Always 'it',Being ignored
*-*-*-*-*,*-*-*-00088,B26-00088,내가 꿈꾸는 가장 이상적인 휴가 스타일은?,핫플 투어,무인도 힐링,Dream vacation style?,Trendy spots,Desert island
*-*-*-*-*,*-*-*-00089,B26-00089,내가 따르고 싶은 리더의 유형은?,아이디어 뱅크,인맥왕,What kind of leader do you want to follow?,Idea machine,Networking pro
*-*-*-*-*,*-*-*-00090,B26-00090,주말에도 일 생각이 날 때 나의 대처는?,성공 위해 ON,휴식 위해 OFF,Thinking about work on the weekend. You?,Grind for success,Rest is priority
*-*-*-*-*,*-*-*-00091,B26-00091,상대방을 위해 더 낫다고 생각하는 조언 방식은?,아픈 팩트폭력,달콤한 선의의 거짓말,Better way to advise someone?,Harsh truth,Sweet little lie
*-*-*-*-*,*-*-*-00092,B26-00092,소개팅에서 차라리 더 견딜만한 최악은?,숨 막히는 정적,귀 따가운 TMI,Worst first date experience?,Awkward silence,Annoying TMI
*-*-*-*-*,*-*-*-00093,B26-00093,집에서 나를 더 킹받게 만드는 상황은?,물건이 안 보임,치웠는데 또 어지럽힘,What annoys you more at home?,Can't find stuff,Mess returns after cleaning
*-*-*-*-*,*-*-*-00094,B26-00094,더 눈물 나는 생계형 짠내 상황은?,새벽 알바 후 수업,간장밥 레시피 연구,"More pathetic, struggling life?","Morning job, then class",Soy sauce rice recipes
*-*-*-*-*,*-*-*-00095,B26-00095,1년 동안 무엇이든 할 수 있는 자유이용권이 있다면 뭘 할까?,세계일주,사랑하는 사람과 살기,"Free pass for anything for a year, what would you do?",World trip,Live with loved one
*-*-*-*-*,*-*-*-00096,B26-00096,"중요한 결정을 내릴 때, 누구의 말을 듣는 편?",인생 선배 조언,내 직관,Whose advice do you usually take on big decisions?,Experienced mentor,My gut
*-*-*-*-*,*-*-*-00097,B26-00097,직장 생활에서 나의 성장을 돕는 핵심 포인트는?,처세술,실무 능력,Key to growth at work?,Networking,Skills
*-*-*-*-*,*-*-*-00098,B26-00098,딱 하루만 다른 사람으로 살 수 있다면 누구로?,핵인싸 인플루언서,천재 개발자,"Live as someone else for a day, who would you be?",Popular influencer,Genius coder
*-*-*-*-*,*-*-*-00099,B26-00099,친구가 곤경에 처했을 때 내가 돕는 방식은?,우르르 몰려가기,먼저 해결책 찾기,How do you help a friend in trouble?,Group support,Find solutions first
*-*-*-*-*,*-*-*-00100,B26-00100,파티에서 인맥을 넓히는 나의 전략은?,여기저기 기웃대기,한 놈만 팬다,Party networking strategy?,Flit around,Focus on one person
*-*-*-*-*,*-*-*-00101,B26-00101,내가 꿈꾸는 더 완벽한 연애의 형태는?,나를 좋아하는 사람,내가 좋아하는 사람,Perfect relationship?,Someone into me,Someone I'm into
*-*-*-*-*,*-*-*-00102,B26-00102,인생 살면서 더 빨리 깨달았으면 좋았을 것은?,쓸데없는 자존심,똥차 구별법,Wish you realized sooner in life?,Useless pride,Spotting bad partners
*-*-*-*-*,*-*-*-00103,B26-00103,친구의 치명적인 단점을 대하는 나의 태도는?,스스로 알 때까지 침묵,돌직구로 말해주기,Friend's fatal flaw - your reaction?,Silence until they notice,Directly point it out
*-*-*-*-*,*-*-*-00104,B26-00104,둘 중 그나마 더 나은 친구 유형은?,진지충 바보,웃긴 비관론자,Better friend type?,Serious fool,Funny pessimist
*-*-*-*-*,*-*-*-00105,B26-00105,약속 잡을 때 나를 더 빡치게 만드는 유형은?,늦고 사과 안 함,일찍 와서 닥달함,Meeting up - more annoying?,"Late, no apology","Early, rushing me"
*-*-*-*-*,*-*-*-00106,B26-00106,돈을 펑펑 써야 한다면 어디에 쓰고 싶을까?,지인 선물 쏘기,생필품 쟁여두기,"If you had to splurge, what would you want to spend it on?",Gifts for friends,Stock up on essentials
*-*-*-*-*,*-*-*-00107,B26-00107,이상형을 만났는데 가치관이 정반대라면 어떡할까?,노력해서 맞춘다,헤어진다,"You meet your ideal type, but your values clash, what would you do?",Make it work,Move on
*-*-*-*-*,*-*-*-00108,B26-00108,절대 만날 수 없는 최악의 연애 조건은?,존잘/존예 노잼,성격 천사 패션 테러,What's the worst deal-breaker in a relationship?,Hot but boring,Sweet but fashion disaster
*-*-*-*-*,*-*-*-00109,B26-00109,"소개팅 상대와 식성이 완전 정반대라면, 나는?",칼같이 거절,일단 만나봄,"Your date's food preferences are totally opposite to yours, what would you do?",Hard pass,Give it a shot
*-*-*-*-*,*-*-*-00110,B26-00110,평생 하나의 직업으로 살아야 한다면 뭘 해야 할까?,쉴 틈 없는 노마드,머리 쥐나는 창작자,"If you had to have one job for life, what would it be?",Non-stop nomad,Brain-melting creative
*-*-*-*-*,*-*-*-00111,B26-00111,"친구가 끈질기게 소개팅 시켜달라고 조를 때, 나의 대처법은?",같이 찾아보자,알아서 해라,"When a friend keeps bugging me for a blind date, what's my approach?",Let's find someone together,Figure it out yourself
